roll_no,name,math,physics,chemistry,english,cs,economics
GRADSKEY00108,Student_108,84,76,83,73,79,52
GRADSKEY00109,Student_109,66,50,76,54,96,68
GRADSKEY00110,Student_110,55,74,36,50,100,89
GRADSKEY00111,Student_111,43,70,74,55,33,62
GRADSKEY00112,Student_112,53,49,45,85,75,90
GRADSKEY00113,Student_113,32,93,55,51,93,35
GRADSKEY00114,Student_114,89,57,100,48,70,72
GRADSKEY00115,Student_115,87,54,32,53,62,74
GRADSKEY00116,Student_116,90,76,39,95,99,97
GRADSKEY00117,Student_117,94,33,34,79,51,69
GRADSKEY00118,Student_118,95,79,30,35,47,81
GRADSKEY00119,Student_119,34,68,57,97,40,64
GRADSKEY00120,Student_120,82,80,79,81,36,79
GRADSKEY00121,Student_121,90,74,82,49,93,80
GRADSKEY00122,Student_122,93,80,72,80,81,58
GRADSKEY00123,Student_123,59,46,92,70,75,56
GRADSKEY00124,Student_124,54,71,41,42,69,91
GRADSKEY00125,Student_125,49,83,30,51,30,36
GRADSKEY00126,Student_126,58,58,96,75,60,71
GRADSKEY00127,Student_127,95,81,33,57,58,69
GRADSKEY00128,Student_128,38,32,78,30,94,62
GRADSKEY00129,Student_129,83,96,65,39,46,94
GRADSKEY00130,Student_130,87,79,82,60,58,55
GRADSKEY00131,Student_131,60,30,82,79,88,62
GRADSKEY00132,Student_132,37,75,73,86,55,95
GRADSKEY00133,Student_133,73,83,100,77,32,48
GRADSKEY00134,Student_134,37,45,36,55,88,85
GRADSKEY00135,Student_135,100,69,91,71,77,89
GRADSKEY00136,Student_136,97,60,52,52,98,45
GRADSKEY00137,Student_137,88,50,50,96,59,72
GRADSKEY00138,Student_138,93,57,52,64,99,95
GRADSKEY00139,Student_139,73,48,52,85,92,57
GRADSKEY00140,Student_140,38,53,94,54,54,90
GRADSKEY00141,Student_141,100,89,64,48,100,54
GRADSKEY00142,Student_142,42,82,86,44,87,67
GRADSKEY00143,Student_143,52,95,83,52,60,86
GRADSKEY00144,Student_144,42,35,99,89,86,57
GRADSKEY00145,Student_145,41,75,81,46,69,89
GRADSKEY00146,Student_146,78,92,82,51,71,54
GRADSKEY00147,Student_147,95,79,52,54,45,83
GRADSKEY00148,Student_148,35,96,50,94,68,42
GRADSKEY00149,Student_149,58,100,84,35,92,74
GRADSKEY00150,Student_150,85,34,74,67,57,58
GRADSKEY00151,Student_151,37,65,52,45,55,32
GRADSKEY00152,Student_152,33,48,58,91,93,100
GRADSKEY00153,Student_153,89,50,36,92,87,33
GRADSKEY00154,Student_154,43,100,55,33,57,31
GRADSKEY00155,Student_155,40,30,73,51,89,53
GRADSKEY00156,Student_156,67,79,46,62,97,40
GRADSKEY00157,Student_157,42,90,94,41,30,84
GRADSKEY00158,Student_158,41,83,39,92,43,98
GRADSKEY00159,Student_159,71,51,79,87,88,49
GRADSKEY00160,Student_160,88,59,41,86,47,91
GRADSKEY00161,Student_161,51,83,91,90,66,85
GRADSKEY00162,Student_162,78,53,58,50,56,68
GRADSKEY00163,Student_163,79,56,36,65,77,49
GRADSKEY00164,Student_164,52,38,76,55,43,99
GRADSKEY00165,Student_165,68,38,100,100,37,53
GRADSKEY00166,Student_166,91,82,69,33,40,69
GRADSKEY00167,Student_167,71,49,96,31,55,51
GRADSKEY00168,Student_168,73,81,96,37,73,33
GRADSKEY00169,Student_169,88,66,76,45,45,37
GRADSKEY00170,Student_170,30,95,50,59,69,69
GRADSKEY00171,Student_171,43,41,30,39,87,42
GRADSKEY00172,Student_172,53,76,47,87,61,69
GRADSKEY00173,Student_173,94,97,88,42,52,94
GRADSKEY00174,Student_174,62,47,58,33,52,78
GRADSKEY00175,Student_175,30,86,62,68,40,40
GRADSKEY00176,Student_176,81,37,91,49,87,84
GRADSKEY00177,Student_177,62,76,90,75,56,93
GRADSKEY00178,Student_178,49,100,32,89,76,83
GRADSKEY00179,Student_179,100,81,67,58,33,100
GRADSKEY00180,Student_180,67,33,69,98,65,65
GRADSKEY00181,Student_181,64,93,37,69,55,56
GRADSKEY00182,Student_182,87,91,69,59,59,98
GRADSKEY00183,Student_183,99,96,84,56,76,58
GRADSKEY00184,Student_184,56,82,100,94,79,62
GRADSKEY00185,Student_185,65,66,96,38,73,48
GRADSKEY00186,Student_186,69,35,66,60,40,82
GRADSKEY00187,Student_187,46,76,79,86,88,59
GRADSKEY00188,Student_188,34,52,64,83,60,45
GRADSKEY00189,Student_189,51,40,43,85,94,71
GRADSKEY00190,Student_190,60,37,64,72,30,33
GRADSKEY00191,Student_191,85,74,70,38,68,80
GRADSKEY00192,Student_192,72,48,99,52,86,52
GRADSKEY00193,Student_193,38,34,51,32,33,43
GRADSKEY00194,Student_194,81,59,45,81,99,96
GRADSKEY00195,Student_195,51,51,89,98,87,84
GRADSKEY00196,Student_196,68,35,54,60,63,66
GRADSKEY00197,Student_197,62,75,53,57,80,97
GRADSKEY00198,Student_198,51,44,94,82,67,56
GRADSKEY00199,Student_199,41,43,40,79,68,45
GRADSKEY00200,Student_200,33,98,73,43,83,71
GRADSKEY00201,Student_201,97,65,42,95,73,48
GRADSKEY00202,Student_202,89,83,55,71,86,84
GRADSKEY00203,Student_203,55,36,93,84,65,53
GRADSKEY00204,Student_204,45,33,96,65,63,31
GRADSKEY00205,Student_205,44,89,58,80,56,49
GRADSKEY00206,Student_206,38,62,78,85,66,91
GRADSKEY00207,Student_207,39,90,72,34,63,42
GRADSKEY00208,Student_208,61,31,97,64,87,34
GRADSKEY00209,Student_209,50,55,99,60,58,78
GRADSKEY00210,Student_210,85,85,67,76,94,64
GRADSKEY00211,Student_211,54,74,43,46,85,76
GRADSKEY00212,Student_212,43,44,92,57,64,69
GRADSKEY00213,Student_213,31,87,56,92,37,37
GRADSKEY00214,Student_214,94,30,48,33,95,30
GRADSKEY00215,Student_215,65,97,94,69,71,58
GRADSKEY00216,Student_216,55,69,66,86,97,33
GRADSKEY00217,Student_217,65,48,71,91,37,72
GRADSKEY00218,Student_218,56,95,39,53,60,82
GRADSKEY00219,Student_219,47,41,76,58,93,54
GRADSKEY00220,Student_220,44,87,34,45,31,88
GRADSKEY00221,Student_221,69,54,43,45,40,80
GRADSKEY00222,Student_222,63,59,41,93,72,48
GRADSKEY00223,Student_223,100,55,74,65,96,78
GRADSKEY00224,Student_224,32,84,59,94,100,58
GRADSKEY00225,Student_225,99,66,54,61,47,85
GRADSKEY00226,Student_226,79,99,71,40,68,51
GRADSKEY00227,Student_227,92,56,81,84,91,65
GRADSKEY00228,Student_228,64,61,80,76,35,80
GRADSKEY00229,Student_229,66,70,79,55,35,67
GRADSKEY00230,Student_230,64,60,62,53,71,76
GRADSKEY00231,Student_231,54,96,52,62,71,87
GRADSKEY00232,Student_232,39,34,73,95,38,80
GRADSKEY00233,Student_233,49,68,66,59,86,52
GRADSKEY00234,Student_234,68,56,46,34,46,33
GRADSKEY00235,Student_235,77,60,87,96,93,97
GRADSKEY00236,Student_236,60,35,55,44,81,94
GRADSKEY00237,Student_237,38,99,70,96,55,32
GRADSKEY00238,Student_238,77,79,89,94,84,74
GRADSKEY00239,Student_239,40,33,96,100,88,98
GRADSKEY00240,Student_240,71,74,88,99,92,43
GRADSKEY00241,Student_241,84,66,50,51,90,78
GRADSKEY00242,Student_242,99,77,39,83,98,38
GRADSKEY00243,Student_243,72,40,100,87,99,74
GRADSKEY00244,Student_244,70,61,47,44,85,69
GRADSKEY00245,Student_245,65,86,90,54,67,69
GRADSKEY00246,Student_246,44,47,96,86,87,67
GRADSKEY00247,Student_247,95,94,82,85,32,79
GRADSKEY00248,Student_248,51,40,80,81,39,73
GRADSKEY00249,Student_249,71,91,95,31,84,32
GRADSKEY00250,Student_250,30,31,91,34,75,56
GRADSKEY00251,Student_251,39,70,36,76,50,42
GRADSKEY00252,Student_252,56,54,77,39,99,31
GRADSKEY00253,Student_253,81,94,43,83,85,56
GRADSKEY00254,Student_254,94,64,48,86,90,82
GRADSKEY00255,Student_255,77,87,57,64,77,82
GRADSKEY00256,Student_256,48,93,48,93,88,41
GRADSKEY00257,Student_257,89,62,64,39,50,37
GRADSKEY00258,Student_258,97,89,70,42,45,48
GRADSKEY00259,Student_259,42,59,77,71,38,70
GRADSKEY00260,Student_260,56,98,42,89,85,35
GRADSKEY00261,Student_261,56,39,97,51,82,58
GRADSKEY00262,Student_262,36,35,67,91,82,88
GRADSKEY00263,Student_263,100,74,61,51,73,63
GRADSKEY00264,Student_264,59,56,73,66,59,38
GRADSKEY00265,Student_265,94,84,34,74,83,94
GRADSKEY00266,Student_266,72,33,90,74,41,67
GRADSKEY00267,Student_267,41,39,95,67,80,82
GRADSKEY00268,Student_268,97,41,50,69,87,82
GRADSKEY00269,Student_269,98,85,99,58,91,50
GRADSKEY00270,Student_270,92,98,33,60,31,100
GRADSKEY00271,Student_271,33,41,39,82,76,83
GRADSKEY00272,Student_272,72,81,37,78,60,55
GRADSKEY00273,Student_273,89,97,89,98,41,41
GRADSKEY00274,Student_274,46,89,50,85,80,96
GRADSKEY00275,Student_275,71,67,33,37,59,45
GRADSKEY00276,Student_276,75,71,97,68,58,65
GRADSKEY00277,Student_277,69,99,44,50,76,80
GRADSKEY00278,Student_278,37,89,48,81,55,61
GRADSKEY00279,Student_279,66,36,72,40,37,97
GRADSKEY00280,Student_280,41,32,51,92,61,32
GRADSKEY00281,Student_281,46,58,38,81,69,50
GRADSKEY00282,Student_282,70,33,91,62,90,53
GRADSKEY00283,Student_283,32,93,85,84,92,73
GRADSKEY00284,Student_284,44,64,37,65,80,71
GRADSKEY00285,Student_285,35,88,30,84,89,71
GRADSKEY00286,Student_286,64,50,43,75,30,49
GRADSKEY00287,Student_287,50,38,54,94,69,87
GRADSKEY00288,Student_288,81,91,93,34,90,100
GRADSKEY00289,Student_289,86,88,73,44,93,58
GRADSKEY00290,Student_290,33,48,90,55,57,37
GRADSKEY00291,Student_291,68,33,43,100,95,85
GRADSKEY00292,Student_292,70,96,92,98,45,52
GRADSKEY00293,Student_293,46,91,85,49,32,50
GRADSKEY00294,Student_294,30,87,78,40,77,41
GRADSKEY00295,Student_295,30,48,97,78,80,47
GRADSKEY00296,Student_296,49,54,83,100,50,66
GRADSKEY00297,Student_297,72,90,36,30,41,71
GRADSKEY00298,Student_298,96,33,34,85,48,68
GRADSKEY00299,Student_299,31,31,68,39,92,36
GRADSKEY00300,Student_300,68,74,94,40,91,75
GRADSKEY00301,Student_301,63,71,65,56,58,51
GRADSKEY00302,Student_302,35,35,51,36,55,52
GRADSKEY00303,Student_303,49,40,74,49,89,36
GRADSKEY00304,Student_304,85,97,52,44,91,77
GRADSKEY00305,Student_305,34,63,76,50,86,34
GRADSKEY00306,Student_306,68,65,78,83,41,37
GRADSKEY00307,Student_307,40,98,72,100,94,52
GRADSKEY00308,Student_308,45,48,43,76,60,88
GRADSKEY00309,Student_309,54,37,48,61,44,87
GRADSKEY00310,Student_310,67,82,70,30,70,87
GRADSKEY00311,Student_311,95,61,50,32,64,51
GRADSKEY00312,Student_312,76,56,98,58,37,76
GRADSKEY00313,Student_313,85,68,97,90,88,41
GRADSKEY00314,Student_314,33,31,58,48,60,36
GRADSKEY00315,Student_315,56,35,54,64,41,73
GRADSKEY00316,Student_316,37,87,56,69,40,41
GRADSKEY00317,Student_317,96,65,32,72,69,56
GRADSKEY00318,Student_318,89,71,58,81,74,35
GRADSKEY00319,Student_319,54,56,92,30,98,44
GRADSKEY00320,Student_320,41,77,80,88,92,67
GRADSKEY00321,Student_321,41,33,39,62,91,50
GRADSKEY00322,Student_322,78,49,93,59,39,87
GRADSKEY00323,Student_323,53,58,40,43,58,32
GRADSKEY00324,Student_324,100,69,96,31,80,89
GRADSKEY00325,Student_325,38,53,83,76,71,83
GRADSKEY00326,Student_326,58,39,42,47,47,97
GRADSKEY00327,Student_327,36,89,72,88,50,93
GRADSKEY00328,Student_328,65,87,80,42,65,99
GRADSKEY00329,Student_329,56,58,71,50,32,100
GRADSKEY00330,Student_330,91,41,67,31,88,62
GRADSKEY00331,Student_331,36,50,86,100,73,54
GRADSKEY00332,Student_332,44,91,93,56,80,86
GRADSKEY00333,Student_333,91,57,69,69,93,98
GRADSKEY00334,Student_334,48,98,51,76,65,63
GRADSKEY00335,Student_335,71,38,87,63,96,33
GRADSKEY00336,Student_336,82,71,83,99,88,77
GRADSKEY00337,Student_337,50,67,89,36,83,67
GRADSKEY00338,Student_338,49,80,84,62,52,38
GRADSKEY00339,Student_339,84,71,82,85,41,46
GRADSKEY00340,Student_340,73,46,89,98,69,37
GRADSKEY00341,Student_341,86,78,90,98,91,89
GRADSKEY00342,Student_342,34,72,57,72,51,43
GRADSKEY00343,Student_343,61,45,41,30,34,85
GRADSKEY00344,Student_344,90,79,99,83,42,58
GRADSKEY00345,Student_345,99,93,51,59,90,86
GRADSKEY00346,Student_346,100,81,55,73,98,79
GRADSKEY00347,Student_347,97,38,34,76,70,55
GRADSKEY00348,Student_348,48,90,88,40,52,99
GRADSKEY00349,Student_349,100,84,77,99,34,52
GRADSKEY00350,Student_350,37,34,58,75,84,76
GRADSKEY00351,Student_351,40,75,78,49,97,83
GRADSKEY00352,Student_352,93,38,64,48,43,98
GRADSKEY00353,Student_353,66,34,71,35,48,53
GRADSKEY00354,Student_354,68,45,41,69,58,61
GRADSKEY00355,Student_355,89,91,67,91,67,33
GRADSKEY00356,Student_356,56,72,94,98,72,34
GRADSKEY00357,Student_357,88,66,80,83,86,67
GRADSKEY00358,Student_358,42,31,49,91,71,47
GRADSKEY00359,Student_359,82,94,31,48,47,97
GRADSKEY00360,Student_360,72,94,65,59,55,49
GRADSKEY00361,Student_361,97,98,64,99,86,77
GRADSKEY00362,Student_362,53,84,99,97,56,76
GRADSKEY00363,Student_363,68,44,71,76,80,80
GRADSKEY00364,Student_364,100,71,42,60,52,81
GRADSKEY00365,Student_365,80,91,60,49,94,66
GRADSKEY00366,Student_366,52,36,44,42,47,47
GRADSKEY00367,Student_367,75,78,47,57,98,70
GRADSKEY00368,Student_368,81,83,45,35,37,80
GRADSKEY00369,Student_369,95,81,92,69,31,88
GRADSKEY00370,Student_370,50,40,97,89,38,88
GRADSKEY00371,Student_371,50,49,55,74,38,58
GRADSKEY00372,Student_372,75,30,96,61,51,44
GRADSKEY00373,Student_373,67,30,57,68,73,74
GRADSKEY00374,Student_374,64,44,90,72,96,88
GRADSKEY00375,Student_375,45,68,32,73,49,77
GRADSKEY00376,Student_376,79,50,44,86,68,43
GRADSKEY00377,Student_377,81,89,64,78,63,74
GRADSKEY00378,Student_378,73,76,30,95,61,67
GRADSKEY00379,Student_379,71,59,94,39,94,55
GRADSKEY00380,Student_380,65,97,62,76,38,93
GRADSKEY00381,Student_381,42,33,91,91,74,45
GRADSKEY00382,Student_382,64,39,57,54,46,78
GRADSKEY00383,Student_383,93,84,54,66,55,76
GRADSKEY00384,Student_384,72,52,54,56,74,41
GRADSKEY00385,Student_385,52,78,55,92,89,63
GRADSKEY00386,Student_386,43,31,100,60,50,34
GRADSKEY00387,Student_387,78,93,68,81,42,40
GRADSKEY00388,Student_388,68,57,77,32,66,85
GRADSKEY00389,Student_389,38,39,45,48,44,40
GRADSKEY00390,Student_390,36,51,36,95,85,56
GRADSKEY00391,Student_391,76,69,55,76,80,74
GRADSKEY00392,Student_392,89,31,62,81,31,51
GRADSKEY00393,Student_393,84,71,91,52,62,36
GRADSKEY00394,Student_394,49,56,36,68,72,80
GRADSKEY00395,Student_395,89,92,49,66,83,95
GRADSKEY00396,Student_396,100,80,100,55,78,71
GRADSKEY00397,Student_397,72,41,100,60,89,100
GRADSKEY00398,Student_398,36,66,77,55,46,34
GRADSKEY00399,Student_399,30,47,93,84,36,51
GRADSKEY00400,Student_400,64,49,51,41,35,76
GRADSKEY00401,Student_401,40,57,80,98,41,100
GRADSKEY00402,Student_402,67,38,40,30,69,52
GRADSKEY00403,Student_403,40,74,44,86,37,68
GRADSKEY00404,Student_404,33,91,92,52,60,94
GRADSKEY00405,Student_405,68,68,32,49,45,81
GRADSKEY00406,Student_406,99,80,60,88,87,99
GRADSKEY00407,Student_407,70,78,44,56,83,85
GRADSKEY00408,Student_408,68,94,72,64,34,90
GRADSKEY00409,Student_409,47,46,58,52,73,43
GRADSKEY00410,Student_410,81,73,59,33,54,44
GRADSKEY00411,Student_411,98,50,82,99,49,63
GRADSKEY00412,Student_412,30,59,60,63,54,92
GRADSKEY00413,Student_413,54,32,36,47,79,83
GRADSKEY00414,Student_414,99,82,36,35,82,33
GRADSKEY00415,Student_415,39,69,61,79,41,88
GRADSKEY00416,Student_416,76,34,66,39,83,44
GRADSKEY00417,Student_417,34,61,56,42,63,97
GRADSKEY00418,Student_418,43,46,98,80,86,74
GRADSKEY00419,Student_419,35,89,87,44,89,40
GRADSKEY00420,Student_420,44,79,70,38,66,83
GRADSKEY00421,Student_421,35,50,78,47,95,61
GRADSKEY00422,Student_422,100,83,62,65,44,85
GRADSKEY00423,Student_423,50,53,67,98,96,79
GRADSKEY00424,Student_424,58,54,38,39,52,56
GRADSKEY00425,Student_425,54,82,41,31,66,44
GRADSKEY00426,Student_426,48,69,72,66,32,75
GRADSKEY00427,Student_427,80,57,91,53,68,63
GRADSKEY00428,Student_428,73,82,98,85,81,46
GRADSKEY00429,Student_429,87,91,56,89,81,93
GRADSKEY00430,Student_430,53,65,64,92,96,85
GRADSKEY00431,Student_431,67,62,73,49,96,92
GRADSKEY00432,Student_432,97,62,89,43,91,76
GRADSKEY00433,Student_433,57,78,34,63,94,92
GRADSKEY00434,Student_434,37,56,41,79,40,94
GRADSKEY00435,Student_435,40,60,57,95,68,94
GRADSKEY00436,Student_436,98,68,30,93,80,88
GRADSKEY00437,Student_437,77,78,89,65,49,52
GRADSKEY00438,Student_438,86,99,69,96,56,35
GRADSKEY00439,Student_439,35,55,55,45,42,50
GRADSKEY00440,Student_440,78,98,57,84,77,70
GRADSKEY00441,Student_441,34,69,54,99,36,39
GRADSKEY00442,Student_442,87,94,82,61,62,75
GRADSKEY00443,Student_443,73,66,65,78,71,96
GRADSKEY00444,Student_444,63,88,50,66,72,78
GRADSKEY00445,Student_445,38,34,38,66,89,42
GRADSKEY00446,Student_446,46,98,95,50,43,36
GRADSKEY00447,Student_447,46,34,64,74,37,65
GRADSKEY00448,Student_448,94,59,43,36,62,41
GRADSKEY00449,Student_449,61,62,62,81,60,64
GRADSKEY00450,Student_450,81,39,91,87,69,98
GRADSKEY00451,Student_451,89,63,79,39,95,34
GRADSKEY00452,Student_452,78,85,56,50,96,93
GRADSKEY00453,Student_453,82,64,34,53,99,42
GRADSKEY00454,Student_454,81,68,82,31,33,76
GRADSKEY00455,Student_455,85,63,32,90,54,92
GRADSKEY00456,Student_456,66,75,53,87,50,41
GRADSKEY00457,Student_457,92,56,59,62,80,73
GRADSKEY00458,Student_458,79,66,98,81,45,48
GRADSKEY00459,Student_459,40,87,88,50,83,63
GRADSKEY00460,Student_460,50,97,61,40,69,39
GRADSKEY00461,Student_461,77,44,81,54,89,81
GRADSKEY00462,Student_462,85,47,56,64,75,99
GRADSKEY00463,Student_463,97,35,44,56,100,65
GRADSKEY00464,Student_464,81,67,89,95,75,54
GRADSKEY00465,Student_465,36,38,66,80,31,78
GRADSKEY00466,Student_466,58,74,89,41,94,87
GRADSKEY00467,Student_467,40,49,33,37,53,82
GRADSKEY00468,Student_468,88,86,86,30,43,48
GRADSKEY00469,Student_469,70,54,48,96,91,60
GRADSKEY00470,Student_470,61,57,57,66,45,32
GRADSKEY00471,Student_471,94,35,58,68,48,42
GRADSKEY00472,Student_472,83,51,77,35,96,89
GRADSKEY00473,Student_473,43,67,95,87,86,90
GRADSKEY00474,Student_474,41,71,77,64,92,59
GRADSKEY00475,Student_475,39,31,98,50,47,82
GRADSKEY00476,Student_476,52,84,49,45,93,52
GRADSKEY00477,Student_477,79,93,83,83,53,99
GRADSKEY00478,Student_478,63,32,48,39,39,85
GRADSKEY00479,Student_479,55,79,82,73,38,56
GRADSKEY00480,Student_480,74,43,98,81,47,46
GRADSKEY00481,Student_481,30,93,45,80,83,69
GRADSKEY00482,Student_482,32,61,66,95,76,36
GRADSKEY00483,Student_483,63,87,81,67,79,60
GRADSKEY00484,Student_484,53,31,84,34,96,44
GRADSKEY00485,Student_485,46,69,75,53,39,88
GRADSKEY00486,Student_486,79,67,58,58,94,46
GRADSKEY00487,Student_487,73,81,76,56,51,60
GRADSKEY00488,Student_488,68,56,69,66,64,76
GRADSKEY00489,Student_489,57,87,40,42,42,69
GRADSKEY00490,Student_490,61,78,86,53,70,74
GRADSKEY00491,Student_491,71,83,81,67,68,77
GRADSKEY00492,Student_492,33,61,44,65,94,75
GRADSKEY00493,Student_493,41,54,80,51,37,54
GRADSKEY00494,Student_494,87,56,69,85,98,30
GRADSKEY00495,Student_495,97,52,64,76,38,38
GRADSKEY00496,Student_496,91,36,42,67,60,41
GRADSKEY00497,Student_497,83,59,70,82,71,67
GRADSKEY00498,Student_498,62,61,93,68,78,81
GRADSKEY00499,Student_499,76,96,80,96,45,91
GRADSKEY00500,Student_500,67,52,58,55,39,82
GRADSKEY00501,Student_501,53,50,63,39,65,30
GRADSKEY00502,Student_502,72,60,88,47,86,86
GRADSKEY00503,Student_503,90,77,32,98,43,48
GRADSKEY00504,Student_504,96,45,72,41,94,96
GRADSKEY00505,Student_505,40,75,49,66,78,77
GRADSKEY00506,Student_506,86,96,69,89,84,36
GRADSKEY00507,Student_507,84,61,68,99,51,67
GRADSKEY00508,Student_508,95,34,47,77,43,60
GRADSKEY00509,Student_509,86,96,52,51,31,90
GRADSKEY00510,Student_510,39,100,89,81,45,61
GRADSKEY00511,Student_511,45,47,81,55,70,66
GRADSKEY00512,Student_512,56,74,85,49,54,54
GRADSKEY00513,Student_513,37,55,70,48,56,66
GRADSKEY00514,Student_514,56,89,46,67,64,41
GRADSKEY00515,Student_515,67,91,88,80,77,67
GRADSKEY00516,Student_516,44,46,64,98,36,48
